CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
17677,43,9650,1,16050.2,373.3,178,1.15,43,13,0.3
15189,53,6035,1,15802.1,298.2,80,1.43,53,12,0.23
15856,31,10744,4,15723.5,507.2,294,0.57,31,4,0.13
14051,26,3740,0,15462.3,594.7,51,1.72,26,3,0.12
16839,39,8393,8,15031.4,385.4,114,1.24,39,5,0.13
15513,22,5521,31,14420.5,655.5,182,1.1,22,3,0.14
16133,46,8725,3,14297.9,310.8,219,0.87,46,13,0.28
16705,29,5362,0,13733.7,473.6,133,1.28,29,9,0.31
14031,23,4449,7,13614.2,591.9,119,1.47,23,4,0.17
14866,12,6399,10,13458.8,1121.6,28,3.67,12,1,0.08
12901,34,19655,8,13284.9,390.7,29,2.43,34,7,0.21
17735,19,8307,2,13003.6,684.4,314,0.53,19,0,0.0
12433,7,10959,0,12943.1,1849.0,216,0.9,7,0,0.0
12477,9,3478,22,12609.3,1401.0,187,0.96,9,3,0.33
15498,33,6046,2,12594.5,381.7,354,0.71,33,6,0.18
14258,10,7050,9,12450.9,1245.1,57,2.98,10,1,0.1
16000,3,5110,2,12393.7,4131.2,9,0.0,3,0,0.0
13078,43,5497,1,12279.3,285.6,95,0.98,43,17,0.4
15640,17,6464,4,12241.8,720.1,237,0.77,17,2,0.12
12621,23,7213,1,12089.9,525.6,255,0.82,23,3,0.13
12557,5,4384,16,11991.0,2398.2,15,11.09,5,0,0.0
17340,16,5902,9,11891.2,743.2,231,0.84,16,5,0.31
16525,29,6469,2,11796.0,406.8,74,1.84,29,3,0.1
12681,25,7239,14,11782.3,471.3,259,0.59,25,3,0.12
12939,8,4876,64,11581.8,1447.7,21,5.87,8,0,0.0
12540,19,6584,19,11408.3,600.4,273,0.75,19,2,0.11
14606,125,5890,1,11368.6,90.9,819,0.14,125,35,0.28
12409,7,5543,78,11056.9,1579.6,91,0.92,7,4,0.57
14194,32,5692,4,11032.7,344.8,266,0.51,32,11,0.34
15125,23,5919,25,10965.9,476.8,100,1.79,23,8,0.35
12682,31,5461,3,10958.6,353.5,206,0.75,31,0,0.0
12971,88,9204,3,10933.8,124.2,94,1.21,88,2,0.02
14895,24,4745,7,10763.8,448.5,270,0.64,24,4,0.17
13340,7,5766,45,10716.7,1531.0,127,1.75,7,0,0.0
17581,31,5843,0,10701.0,345.2,230,0.83,31,6,0.19
13319,36,4686,5,10664.3,296.2,211,0.73,36,10,0.28
13113,39,2596,0,10523.7,269.8,112,1.32,39,15,0.38
17139,15,5117,15,10456.3,697.1,302,0.57,15,3,0.2
14062,12,5575,9,10419.0,868.3,58,3.29,12,0,0.0
15615,27,5493,10,10360.0,383.7,185,0.82,27,4,0.15
17107,7,4518,32,10335.7,1476.5,266,0.59,7,1,0.14
15251,15,6084,9,10327.1,688.5,97,1.93,15,4,0.27
14769,10,7133,2,10286.3,1028.6,709,0.34,10,2,0.2
16180,10,5853,100,10217.5,1021.8,92,0.87,10,2,0.2
17865,27,5685,30,10125.8,375.0,188,0.87,27,7,0.26
17706,22,3825,4,10084.6,458.4,268,0.93,22,5,0.23
16843,16,10067,42,9942.8,621.4,221,0.77,16,0,0.0
16779,28,5067,2,9823.6,350.8,159,1.09,28,6,0.21
14607,15,6966,15,9793.1,652.9,37,2.34,15,3,0.2
13199,38,6171,3,9789.0,257.6,47,3.08,38,1,0.03
13001,15,5465,4,9754.6,650.3,164,0.96,15,2,0.13
15078,38,5069,7,9623.4,253.2,98,0.8,38,6,0.16
13458,22,5460,7,9537.9,433.5,242,0.9,22,8,0.36
14733,15,3721,9,9431.7,628.8,101,1.67,15,3,0.2
16523,28,4233,1,9295.7,332.0,151,1.06,28,7,0.25
14667,27,5315,10,9160.8,339.3,353,0.63,27,2,0.07
12590,2,4182,190,9136.8,4568.4,66,0.31,2,1,0.5
12744,4,5234,56,9120.4,2280.1,177,1.22,4,0,0.0
14367,19,4394,8,9114.3,479.7,269,0.51,19,3,0.16
18092,12,4250,2,9065.8,755.5,28,4.08,12,1,0.08
13969,20,4463,7,8951.9,447.6,333,0.57,20,2,0.1
13488,16,4485,17,8834.6,552.2,269,0.83,16,3,0.19
12451,6,6430,10,8832.3,1472.0,263,0.89,6,1,0.17
12709,26,3756,3,8798.3,338.4,99,1.47,26,11,0.42
13090,17,2187,8,8659.1,509.4,96,2.3,17,4,0.24
16033,27,3491,5,8626.9,319.5,533,0.32,27,7,0.26
16656,21,8873,22,8568.2,408.0,14,4.33,21,6,0.29
18139,6,5557,17,8438.3,1406.4,35,0.01,6,0,0.0
17243,30,3294,1,8433.2,281.1,177,0.94,30,4,0.13
17017,27,6556,2,8428.8,312.2,85,1.42,27,7,0.26
12567,11,4021,22,8264.4,751.3,319,0.77,11,1,0.09
15358,29,6884,4,8174.3,281.9,287,0.66,29,7,0.24
16558,24,5262,0,8167.2,340.3,260,0.78,24,4,0.17
14936,9,4083,9,8117.4,901.9,210,0.73,9,1,0.11
16672,23,2812,2,8093.6,351.9,23,2.28,23,3,0.13
13854,29,2254,8,8009.4,276.2,38,3.19,29,4,0.14
14849,28,5656,21,7904.3,282.3,159,0.9,28,3,0.11
14056,29,4028,1,7874.5,271.5,314,0.26,29,6,0.21
14952,15,3271,46,7851.6,523.4,118,2.18,15,4,0.27
18109,31,4204,1,7837.7,252.8,118,0.83,31,5,0.16
12435,2,2055,79,7829.9,3914.9,31,5.37,2,0,0.0
13629,11,4372,23,7792.4,708.4,28,5.43,11,0,0.0
14527,85,2038,2,7742.4,91.1,328,0.37,85,30,0.35
13093,13,3943,267,7741.5,595.5,99,0.63,13,5,0.38
14796,27,5853,1,7712.4,285.6,394,0.32,27,10,0.37
17811,51,4086,4,7571.4,148.5,356,0.39,51,12,0.24
15044,22,2764,19,7497.7,340.8,231,0.76,22,5,0.23
18172,25,3170,14,7490.2,299.6,101,1.43,25,5,0.2
17306,20,10938,10,7483.5,374.2,11,6.6,20,1,0.05
15194,22,5620,3,7481.0,340.0,207,1.13,22,7,0.32
13263,34,4740,1,7350.1,216.2,444,0.2,34,0,0.0
15290,21,4256,4,7345.1,349.8,90,1.78,21,3,0.14
17396,7,2004,39,7312.8,1044.7,23,13.28,7,0,0.0
13018,29,5360,16,7210.8,248.6,309,0.62,29,1,0.03
12683,19,4730,4,7083.5,372.8,174,1.05,19,5,0.26
18229,20,2344,11,7076.3,353.8,62,2.28,20,0,0.0
13324,12,5200,32,7072.8,589.4,25,4.32,12,2,0.17
13985,16,3421,4,7017.8,438.6,107,0.74,16,1,0.06
16873,10,3801,4,7005.1,700.5,177,1.26,10,4,0.4
16729,25,5619,36,6979.8,279.2,231,0.31,25,4,0.16
12798,3,5256,10,6977.0,2325.7,6,22.86,3,0,0.0
15465,24,1217,19,6945.0,289.4,43,3.4,24,6,0.25
14961,12,3675,10,6933.8,577.8,189,1.12,12,3,0.25
13027,6,17280,113,6912.0,1152.0,6,9.64,6,0,0.0
16187,17,5004,31,6841.2,402.4,160,0.85,17,2,0.12
17416,9,4266,29,6838.3,759.8,186,0.93,9,2,0.22
16713,21,4246,18,6794.7,323.6,336,0.56,21,6,0.29
16745,18,6621,86,6763.6,375.8,146,0.65,18,1,0.06
16532,3,2016,17,6748.8,2249.6,2,107.0,3,0,0.0
12830,7,9847,37,6748.4,964.1,14,3.53,7,1,0.14
18055,11,2445,7,6703.8,609.4,222,1.01,11,1,0.09
12980,12,684,155,6697.9,558.2,5,10.68,12,3,0.25
15601,17,4968,11,6689.3,393.5,228,0.88,17,3,0.18
16746,19,4657,4,6676.8,351.4,234,0.79,19,1,0.05
12583,17,4978,2,6629.3,390.0,114,1.59,17,2,0.12
16182,4,3791,72,6617.7,1654.4,17,8.22,4,0,0.0
15023,11,2800,3,6605.6,600.5,344,0.67,11,0,0.0
16353,23,1985,3,6569.2,285.6,49,4.07,23,0,0.0
16923,26,3106,12,6468.5,248.8,315,0.54,26,7,0.27
15249,15,3428,31,6466.6,431.1,205,0.65,15,2,0.13
12766,7,3605,3,6391.9,913.1,202,1.2,7,0,0.0
16652,11,3151,53,6355.5,577.8,71,1.88,11,4,0.36
15482,15,2981,15,6353.5,423.6,45,2.77,15,4,0.27
12474,30,4671,17,6347.1,211.6,248,0.81,30,12,0.4
13871,14,2781,22,6290.8,449.3,153,0.86,14,1,0.07
16126,4,2125,29,6287.8,1572.0,57,2.3,4,0,0.0
12705,13,3932,15,6273.3,482.6,225,1.01,13,5,0.38
18223,26,2867,1,6256.9,240.6,117,1.21,26,12,0.46
15694,14,1592,0,6246.6,446.2,40,5.03,14,1,0.07
16814,22,2636,14,6246.2,283.9,116,1.15,22,1,0.05
13709,17,3489,3,6208.9,365.2,243,0.91,17,4,0.24
12431,18,2829,35,6208.8,344.9,160,1.45,18,3,0.17
17338,10,2940,17,6203.6,620.4,380,0.49,10,2,0.2
13102,27,4106,1,6198.6,229.6,138,1.2,27,3,0.11
12359,6,1596,7,6168.1,1028.0,213,1.3,6,2,0.33
13668,29,3617,2,6162.3,212.5,286,0.73,29,8,0.28
12428,10,3223,25,6161.4,616.1,247,0.93,10,2,0.2
17315,41,3792,0,6135.4,149.6,250,0.75,41,5,0.12
12357,1,2676,33,6121.3,6121.3,128,0.0,1,0,0.0
15005,35,4113,15,6097.1,174.2,357,0.31,35,7,0.2
15939,15,4724,89,6087.3,405.8,27,3.23,15,1,0.07
13225,8,3352,3,6083.0,760.4,23,10.85,8,1,0.13
17509,11,3508,57,6069.2,551.7,75,0.02,11,3,0.27
14057,18,4675,23,6064.6,336.9,177,1.18,18,1,0.06
15144,18,2816,8,6059.3,336.6,127,1.47,18,1,0.06
14101,6,6942,73,5976.8,996.1,15,7.44,6,0,0.0
15382,8,4003,14,5927.9,741.0,193,0.92,8,2,0.25
14060,20,5248,4,5862.7,293.1,85,1.86,20,1,0.05
12989,14,2445,8,5843.2,417.4,39,6.59,14,0,0.0
14944,14,2801,29,5843.0,417.4,101,1.89,14,2,0.14
13418,23,3833,11,5830.1,253.5,222,1.16,23,5,0.22
13097,14,2286,32,5827.1,416.2,212,0.77,14,4,0.29
14735,33,2159,3,5792.7,175.5,98,1.75,33,2,0.06
13209,11,4184,30,5759.2,523.6,251,1.02,11,3,0.27
15218,11,3329,10,5756.9,523.4,77,1.87,11,0,0.0
14505,10,2702,17,5751.3,575.1,538,0.44,10,2,0.2
13178,11,3570,26,5725.5,520.5,95,1.27,11,0,0.0
12637,9,2941,67,5698.9,633.2,201,0.68,9,1,0.11
17686,7,2422,7,5681.1,811.6,202,1.05,7,0,0.0
12472,13,3974,30,5679.6,436.9,223,0.9,13,6,0.46
16553,14,4595,163,5664.6,404.6,63,2.39,14,2,0.14
13050,28,3693,9,5644.0,201.6,241,0.86,28,11,0.39
13576,20,2124,10,5622.7,281.1,76,3.08,20,2,0.1
13534,43,2876,2,5613.1,130.5,119,1.04,43,18,0.42
12476,20,2274,1,5608.3,280.4,174,1.43,20,9,0.45
17049,11,2666,2,5589.8,508.2,201,0.85,11,2,0.18
12839,15,3805,2,5588.1,372.5,95,1.16,15,1,0.07
13316,5,5506,37,5569.4,1113.9,66,2.55,5,1,0.2
13468,41,2477,1,5560.5,135.6,181,1.24,41,4,0.1
18118,31,2842,10,5557.1,179.3,419,0.28,31,5,0.16
14415,18,2874,1,5552.7,308.5,280,0.61,18,5,0.28
17757,30,3297,1,5549.6,185.0,271,0.51,30,0,0.0
15502,19,3825,15,5548.6,292.0,163,1.46,19,9,0.47
13004,22,4728,11,5543.7,252.0,273,0.86,22,4,0.18
12626,13,3230,23,5542.6,426.4,229,1.04,13,4,0.31
12539,4,2049,22,5527.8,1382.0,155,1.16,4,0,0.0
14049,6,3778,16,5520.9,920.1,351,0.61,6,2,0.33
17716,12,3004,22,5505.8,458.8,172,0.97,12,1,0.08
16767,11,4375,30,5469.4,497.2,146,1.31,11,0,0.0
16985,11,1830,17,5461.6,496.5,62,2.84,11,1,0.09
16609,9,2406,15,5424.4,602.7,154,0.85,9,2,0.22
18225,17,3204,3,5356.9,315.1,151,1.3,17,5,0.29
17809,14,2016,16,5344.8,381.8,46,5.76,14,2,0.14
15805,20,3283,23,5315.6,265.8,217,1.14,20,3,0.15
16161,25,2522,1,5309.8,212.4,291,0.74,25,6,0.24
16303,4,2621,25,5305.8,1326.5,119,1.86,4,1,0.25
16265,11,2622,9,5305.3,482.3,162,1.39,11,2,0.18
14110,13,2247,3,5246.6,403.6,92,1.75,13,1,0.08
13269,17,3470,1,5216.1,306.8,175,1.18,17,2,0.12
15150,11,3603,17,5208.1,473.5,280,0.75,11,1,0.09
16258,5,2994,45,5203.5,1040.7,111,1.3,5,0,0.0
17850,35,1600,302,5201.7,148.6,23,0.24,35,1,0.03
17719,18,2224,37,5198.8,288.8,106,0.81,18,3,0.17
18226,14,3459,38,5192.1,370.9,141,1.23,14,3,0.21
17730,15,3539,3,5167.0,344.5,126,1.49,15,2,0.13
13756,15,3164,2,5145.1,343.0,66,2.57,15,1,0.07
15727,7,3037,16,5133.6,733.4,210,1.15,7,0,0.0
17858,12,2686,5,5133.1,427.8,100,1.87,12,0,0.0
15903,8,2409,9,5126.3,640.8,46,3.86,8,1,0.13
17061,12,1484,73,5116.1,426.3,57,1.59,12,1,0.08
18198,21,3839,4,5083.1,242.1,81,2.01,21,4,0.19
16701,18,6144,8,5079.3,282.2,98,2.34,18,5,0.28
13139,8,2418,16,5055.8,632.0,132,1.4,8,1,0.13
14688,27,3181,7,5035.8,186.5,147,1.03,27,6,0.22
17426,7,3082,4,5022.3,717.5,179,1.03,7,1,0.14
13599,33,3165,1,5018.4,152.1,170,1.4,33,12,0.36
12720,28,4470,2,4978.0,177.8,205,1.08,28,3,0.11
12481,10,3202,22,4977.3,497.7,147,1.67,10,0,0.0
15719,14,2660,32,4970.7,355.1,292,0.34,14,1,0.07
16700,17,3989,8,4963.5,292.0,155,1.17,17,4,0.24
14755,12,2213,9,4945.6,412.1,127,1.38,12,1,0.08
15301,14,2728,50,4928.5,352.0,166,1.31,14,2,0.14
17602,8,4037,2,4923.5,615.4,328,0.59,8,2,0.25
15046,16,3227,9,4921.7,307.6,146,1.65,16,1,0.06
13941,7,2307,21,4912.4,701.8,24,7.63,7,2,0.29
14709,14,2482,15,4911.1,350.8,71,1.75,14,1,0.07
17133,7,2730,15,4892.2,698.9,13,9.65,7,0,0.0
14329,14,3057,8,4854.0,346.7,216,1.21,14,7,0.5
15547,14,3949,7,4844.4,346.0,432,0.52,14,0,0.0
12688,1,2964,113,4803.4,4803.4,166,0.0,1,0,0.0
14292,14,1639,7,4799.5,342.8,66,3.01,14,5,0.36
15738,19,2967,18,4788.8,252.0,46,2.02,19,3,0.16
15786,5,3299,43,4781.4,956.3,255,0.26,5,2,0.4
15555,20,4326,12,4713.3,235.7,395,0.4,20,4,0.2
17365,8,4677,12,4707.3,588.4,274,0.7,8,0,0.0
12955,14,3630,1,4703.7,336.0,80,1.47,14,3,0.21
17690,16,1745,30,4694.8,293.4,185,1.37,16,1,0.06
14135,15,3850,1,4690.3,312.7,95,2.79,15,0,0.0
16191,23,3088,2,4667.6,202.9,64,2.49,23,10,0.43
13013,15,2142,1,4664.6,311.0,149,1.73,15,2,0.13
12490,10,2949,5,4645.7,464.6,125,1.44,10,0,0.0
15152,16,2686,9,4644.6,290.3,195,0.65,16,3,0.19
14191,14,3633,1,4641.1,331.5,145,0.84,14,1,0.07
14562,22,1657,3,4638.4,210.8,186,0.69,22,4,0.18
17652,18,2464,25,4632.7,257.4,115,0.97,18,6,0.33
12362,13,2170,3,4630.5,356.2,198,1.12,13,3,0.23
16722,16,4917,17,4621.2,288.8,94,1.56,16,3,0.19
15187,17,1860,1,4595.1,270.3,60,2.34,17,2,0.12
14286,4,4294,23,4585.6,1146.4,219,0.78,4,1,0.25
14004,7,2668,43,4582.6,654.7,102,1.44,7,0,0.0
14390,13,2122,10,4582.2,352.5,135,1.26,13,4,0.31
14159,14,4284,19,4566.1,326.2,490,0.29,14,3,0.21
15291,19,2073,25,4551.5,239.6,62,3.25,19,5,0.26
16931,21,3119,5,4527.0,215.6,444,0.41,21,0,0.0
17068,22,2137,12,4520.1,205.5,114,1.21,22,1,0.05
17613,17,2463,22,4492.8,264.3,210,0.91,17,3,0.18
14180,30,659,10,4470.4,149.0,108,1.53,30,5,0.17
15032,5,2668,256,4464.1,892.8,29,2.04,5,2,0.4
14189,24,3799,2,4445.9,185.2,171,1.36,24,9,0.38
12700,4,2872,7,4441.0,1110.3,185,0.81,4,0,0.0
17364,12,2671,0,4437.2,369.8,288,0.81,12,1,0.08
15093,9,3733,18,4410.1,490.0,52,3.19,9,3,0.33
13267,27,1939,2,4404.4,163.1,88,1.63,27,8,0.3
12437,19,2889,1,4392.7,231.2,117,1.79,19,1,0.05
12664,9,1188,8,4391.9,488.0,9,11.63,9,0,0.0
15955,16,2124,24,4389.8,274.4,137,1.89,16,2,0.13
17975,14,1545,15,4383.5,313.1,186,1.21,14,1,0.07
14085,19,3150,2,4379.7,230.5,270,0.82,19,1,0.05
12752,1,2262,81,4366.8,4366.8,53,0.0,1,0,0.0
12432,4,1800,42,4359.3,1089.8,106,1.23,4,0,0.0
16984,5,2357,78,4345.4,869.1,349,0.13,5,3,0.6
16945,19,2693,21,4332.1,228.0,135,1.37,19,0,0.0
18251,1,7824,87,4314.7,4314.7,16,0.0,1,0,0.0
12347,7,2458,2,4310.0,615.7,103,2.02,7,0,0.0
12714,5,3046,9,4294.9,859.0,215,1.13,5,0,0.0
14016,5,2117,154,4263.2,852.6,152,1.28,5,1,0.2
16626,20,2610,0,4248.3,212.4,85,1.48,20,3,0.15
15034,11,2400,15,4238.1,385.3,298,0.86,11,3,0.27
14422,6,2870,0,4219.9,703.3,186,1.22,6,0,0.0
17419,14,1872,11,4201.0,300.1,155,1.72,14,2,0.14
12747,11,1275,2,4196.0,381.5,42,3.6,11,0,0.0
15971,12,1716,17,4194.9,349.6,9,8.91,12,0,0.0
14800,16,3605,47,4190.3,261.9,245,0.83,16,4,0.25
15874,9,2470,63,4181.3,464.6,122,1.64,9,2,0.22
12757,10,2364,15,4150.3,415.0,231,0.56,10,1,0.1
14525,13,2615,8,4150.1,319.2,217,1.23,13,4,0.31
12536,2,2644,7,4113.9,2056.9,256,0.2,2,1,0.5
13384,9,2411,30,4102.5,455.8,122,0.97,9,2,0.22
17920,17,2451,4,4083.7,240.2,401,0.57,17,0,0.0
12627,6,2730,10,4082.5,680.4,161,0.58,6,0,0.0
12949,10,2329,30,4077.9,407.8,163,1.03,10,2,0.2
18041,22,3745,11,4073.0,185.1,283,0.79,22,1,0.05
16401,19,3859,1,4063.2,213.9,67,1.66,19,7,0.37
15570,13,2029,7,4058.3,312.2,230,1.12,13,1,0.08
14401,14,4505,4,4040.0,288.6,113,1.95,14,1,0.07
17937,7,1706,8,4039.6,577.1,18,8.63,7,0,0.0
12500,12,2660,23,4023.3,335.3,32,5.85,12,2,0.17
13555,4,2606,73,4022.4,1005.6,126,0.97,4,0,0.0
16549,10,2274,10,4021.3,402.1,440,0.35,10,0,0.0
14534,25,1902,2,4018.9,160.8,332,0.58,25,7,0.28
17567,10,2428,7,4012.6,401.3,110,2.07,10,2,0.2
12378,1,2529,129,4008.6,4008.6,219,0.0,1,0,0.0
16592,19,2884,4,3996.8,210.4,141,1.3,19,3,0.16
16186,13,3008,22,3991.9,307.1,87,1.61,13,1,0.08
17001,11,2164,0,3989.6,362.7,75,2.13,11,0,0.0
15416,5,2089,64,3974.4,794.9,165,1.14,5,1,0.2
12867,10,4258,26,3961.7,396.2,239,0.61,10,3,0.3
13183,9,2208,7,3957.8,439.8,51,3.52,9,0,0.0
12444,5,1092,21,3956.4,791.3,132,0.91,5,0,0.0
14092,17,2019,7,3956.0,232.7,115,1.73,17,3,0.18
16670,17,2392,16,3945.1,232.1,175,1.34,17,6,0.35
13988,8,2920,19,3944.6,493.1,180,1.04,8,2,0.25
14426,16,2339,18,3918.9,244.9,187,1.3,16,6,0.38
17593,6,3083,3,3908.1,651.4,190,1.64,6,1,0.17
17611,19,2527,3,3900.7,205.3,436,0.63,19,4,0.21
14739,8,3817,2,3899.1,487.4,47,6.08,8,1,0.13
12957,12,2503,4,3898.0,324.8,204,1.41,12,4,0.33
14547,9,2558,3,3897.1,433.0,190,0.15,9,1,0.11
13802,6,2269,138,3882.9,647.1,56,3.47,6,3,0.5
15529,12,3399,22,3880.6,323.4,409,0.53,12,1,0.08
17377,21,2030,23,3877.3,184.6,189,0.87,21,1,0.05
12484,6,2155,35,3875.3,645.9,253,0.89,6,2,0.33
14291,12,2748,1,3873.3,322.8,145,1.16,12,1,0.08
12524,8,3633,9,3870.1,483.8,111,2.42,8,0,0.0
17651,14,3096,11,3866.9,276.2,148,0.7,14,4,0.29
13999,15,2231,10,3865.3,257.7,102,1.66,15,3,0.2
15195,1,1404,2,3861.0,3861.0,1,0.0,1,0,0.0
17769,12,1819,12,3853.8,321.2,197,1.02,12,2,0.17
12779,12,1992,21,3848.9,320.7,87,2.23,12,4,0.33
15804,19,2513,0,3848.5,202.6,170,0.73,19,6,0.32
15299,8,2941,67,3835.1,479.4,8,38.13,8,2,0.25
12841,26,2632,4,3810.4,146.6,228,0.86,26,1,0.04
13435,9,2125,5,3794.5,421.6,68,1.8,9,2,0.22
12712,17,1019,22,3791.6,223.0,58,2.75,17,4,0.24
17091,10,1737,2,3787.5,378.8,118,1.86,10,1,0.1
18073,13,3088,114,3786.7,291.3,22,1.19,13,1,0.08
16327,6,2522,14,3784.6,630.8,139,1.13,6,0,0.0
16655,6,2361,17,3779.6,629.9,207,1.23,6,0,0.0
15298,14,2752,2,3774.1,269.6,115,1.89,14,2,0.14
15867,16,2030,5,3771.5,235.7,299,0.8,16,1,0.06
16168,28,1888,10,3770.6,134.7,57,3.66,28,1,0.04
12749,8,1410,3,3763.8,470.5,157,0.93,8,3,0.38
13124,3,2119,89,3756.3,1252.1,185,1.22,3,0,0.0
13523,6,1745,33,3755.4,625.9,157,1.89,6,1,0.17
14364,8,1967,108,3717.3,464.7,61,1.51,8,0,0.0
14282,15,2656,3,3701.4,246.8,70,2.38,15,0,0.0
16145,18,3036,8,3695.8,205.3,130,1.51,18,7,0.39
17238,17,1797,2,3693.6,217.3,295,0.67,17,0,0.0
13069,27,5402,0,3690.6,136.7,281,0.8,27,3,0.11
14277,4,1534,15,3685.8,921.5,186,0.92,4,1,0.25
16253,2,3233,66,3683.9,1842.0,114,1.55,2,0,0.0
16240,5,1630,8,3674.0,734.8,126,0.49,5,3,0.6
17173,9,1097,5,3653.6,406.0,35,1.5,9,1,0.11
15845,10,1902,17,3644.1,364.4,96,2.32,10,2,0.2
16440,5,2018,7,3640.7,728.1,186,0.74,5,0,0.0
13815,5,2533,22,3635.1,727.0,130,1.72,5,1,0.2
16904,15,1973,4,3634.9,242.3,385,0.55,15,0,0.0
13381,7,2027,21,3626.8,518.1,77,1.61,7,1,0.14
15379,8,2277,169,3625.2,453.1,144,0.97,8,1,0.13
16570,15,2050,8,3623.0,241.5,70,2.67,15,5,0.33
17819,8,1024,71,3622.8,452.9,35,6.38,8,1,0.13
13327,9,1588,38,3617.6,402.0,74,3.03,9,1,0.11
16712,11,1721,9,3588.4,326.2,257,0.61,11,0,0.0
14132,12,3366,2,3580.1,298.3,100,0.91,12,1,0.08
15808,5,1263,306,3576.3,715.3,141,0.33,5,1,0.2
13266,19,3916,11,3568.3,187.8,81,1.8,19,7,0.37
16242,8,1966,8,3565.0,445.6,183,0.92,8,1,0.13
15296,10,1741,44,3559.9,356.0,134,1.44,10,4,0.4
12656,8,1684,17,3550.7,443.8,88,1.81,8,3,0.38
13137,9,2185,10,3548.6,394.3,342,0.44,9,1,0.11
14503,6,2004,3,3543.3,590.6,113,1.07,6,0,0.0
15544,11,3105,8,3542.5,322.0,122,1.4,11,2,0.18
17491,11,2012,1,3541.9,322.0,72,3.36,11,1,0.09
17528,11,2130,1,3540.1,321.8,183,0.27,11,3,0.27
13552,16,1386,66,3539.5,221.2,82,2.08,16,4,0.25
12449,4,1511,22,3536.9,884.2,116,0.9,4,0,0.0
13505,8,2430,67,3517.8,439.7,180,0.75,8,4,0.5
13953,7,2724,7,3515.7,502.2,8,18.16,7,0,0.0
12662,12,2023,0,3511.1,292.6,128,1.69,12,1,0.08
